customer_id,first_name,last_name,email,country,signup_date,segment
66d299b6-56a8-4e3d-89a6-230592a7f099,Kyle,Doyle,robert43@example.net,Canada,2024-07-06,VIP
4eb47b8a-052d-4b76-b492-2b497c441f1b,Steven,King,kellyhouse@example.org,France,2026-02-09,Regular
54386a46-387f-48e9-89ce-1fdafdbba683,Jennifer,Nichols,bmiller@example.com,UK,2024-06-24,At-Risk
15cb0284-2c39-4634-a1b6-0fc2ee3144a1,Michael,Moreno,diane73@example.com,Singapore,2025-05-27,VIP
35404803-66e0-4028-9dcd-96f9b83fd4c4,Jessica,Russell,kwalker@example.org,India,2026-02-27,VIP
0ecc2d1a-483e-4a02-9b7a-15ef159e173b,Edwin,Mack,mckenziekaren@example.org,Canada,2025-06-25,Regular
9d1729c4-c457-4c00-9b4b-8994177c68c6,Brendan,Leach,wayne30@example.org,Singapore,2025-04-17,New
69f74084-1783-4dc3-aa1e-1652ca1ad732,Erika,Mcdaniel,charrison@example.com,Singapore,2025-02-22,Regular
9cb92837-3fd8-427f-bb40-826e68ff94d9,Jennifer,Meyer,benjaminsimmons@example.org,Singapore,2026-03-17,Regular
6b36c706-6176-485d-b814-0c72eb1459ca,Jennifer,Cannon,robertruiz@example.com,Brazil,2024-11-06,New
b8bb8de7-fabc-4317-92a2-b644ba7b0592,Jonathan,Lawson,millsmiguel@example.org,USA,2023-12-12,At-Risk
ce653dc2-283e-4463-873a-46af5b6f4ec1,Juan,Harris,rubenthomas@example.net,UK,2024-12-20,New
476db3c6-e4f5-4dc8-9c7c-3dc0e885db54,Mary,Rodriguez,harrellerin@example.org,Australia,2024-11-05,Regular
7ee4d665-e9a7-4864-a086-0f66e5adb118,Christina,Keller,morganjames@example.net,Germany,2025-08-06,Churned
7de2bdb3-d8c9-42d5-bd1f-1d3da3ce7c5f,Maurice,Mitchell,langnicole@example.net,Australia,2024-08-14,Regular
cd64cc66-6571-44c6-a21b-82a51dcd658a,Michael,Silva,donaldperez@example.com,India,2025-08-30,VIP
9a1905cf-577a-4eeb-a1bb-cc1b8677e2c6,Gary,Gonzalez,campbellfrank@example.net,Australia,2024-03-26,New
2aeb4297-b3fd-48bf-abd1-26ba8ad8afe7,Tammy,Pierce,cynthiaclay@example.com,USA,2024-05-07,At-Risk
7593c229-6494-4de9-bfc2-11fbd2018976,Jodi,Scott,cgomez@example.com,Singapore,2025-12-21,Regular
ec29da29-10ad-4ff7-bc7f-23cead23a9c7,Shawn,House,dylan99@example.com,India,2024-10-28,VIP
991bbd19-ce2a-4f4c-a225-b0bb5f65eb11,Megan,Clark,qlee@example.net,France,2026-04-15,At-Risk
f3c86e8e-ef66-4b38-8430-a3fe8d994be6,Isaac,Padilla,josephstephens@example.org,Japan,2024-01-09,At-Risk
1a88702c-35c4-419d-a65f-72014f723db2,Amanda,Holt,cfowler@example.org,Australia,2024-05-22,New
5bf57f50-76fb-45d3-a3fe-d60b45624de3,Walter,Hughes,stevesmith@example.com,Canada,2024-08-08,VIP
d48deac9-c5d2-4aa2-a034-ca9f381d8eac,Samantha,Thomas,gpeterson@example.net,Germany,2025-04-07,At-Risk
def3f5f9-c63a-4eb2-be52-55eb456ca354,Nicholas,Garcia,markharrison@example.org,Canada,2023-06-26,At-Risk
5f3698b3-4502-45ad-aa1c-ada687902a19,Joseph,Little,anamcfarland@example.com,Canada,2025-02-06,Regular
a65d7770-acdb-490c-8df2-458281c14bf6,Kevin,White,denise62@example.net,Brazil,2025-03-29,New
23ead382-83ab-4ccc-8dd2-62482424a59a,Susan,Strong,owatson@example.com,Australia,2024-09-29,Regular
4cfc68ef-5d14-42f8-a035-f51949708c75,Jeffrey,Bishop,millerbenjamin@example.com,Australia,2024-12-11,Regular
ded7048f-c8c9-4e5c-a099-667849003542,Kevin,Howard,ashaw@example.net,France,2024-07-25,At-Risk
6d3fb47f-c6d9-4557-860c-4d667797c0c2,Anthony,Booker,kimberly05@example.org,Canada,2024-09-05,New
af49abca-b971-412f-8125-1e87a6dd860c,Melissa,Cooper,robert65@example.org,UK,2023-12-12,New
27effbf0-76a3-4b46-ae22-b50126932f85,Jeanne,Watkins,susan87@example.com,Germany,2023-10-15,Regular
1577b66f-99bf-444d-ba0d-c634a6d39c01,Andrew,Ramos,gbryant@example.net,India,2024-01-25,Regular
85d2ad23-18cf-4147-95ed-3d654eceab77,Matthew,Mccarthy,troynavarro@example.net,Singapore,2023-08-25,Regular
2176785c-a2b3-4c54-8846-10ea71c5bfc7,Darren,Fletcher,bhanson@example.com,Australia,2024-08-05,At-Risk
ed28b73c-6f21-41b2-ac33-ebc53933e21e,Eric,Blankenship,jacksoneric@example.net,USA,2026-01-08,Regular
0c14b595-2065-4a30-85b2-2cb126857bd6,Heather,Hughes,wesleyking@example.org,USA,2023-06-13,At-Risk
cd57b666-4a7a-47e7-9816-02588d939b32,Anne,Garrison,kimberly09@example.com,India,2024-10-06,Regular
391bc458-90be-4c3a-a1e7-5abcc6c85f1d,Peter,Colon,gonzalezwilliam@example.net,Germany,2024-03-24,Churned
89f73988-c1df-4eb3-89db-919e042dc5ea,Michael,Rich,qhenderson@example.net,Japan,2023-09-11,At-Risk
a0822a1e-6fb6-4f6a-8546-9c32eadf3c7c,Robert,Velez,riveraashley@example.org,Australia,2025-12-16,Regular
c7db5fe3-e777-48b1-a99e-d5f42c7630c4,Jennifer,Bradshaw,walshcolleen@example.com,Brazil,2026-03-07,Regular
718ca9f7-d07d-4f29-be4d-a06b0740b3a5,Joseph,Green,lwalsh@example.net,Brazil,2024-07-17,Regular
e4e592ab-a4a3-41bb-99bb-59ca9554789e,Tiffany,Navarro,sglover@example.org,UK,2025-09-02,Regular
eeacf00e-7502-4b9e-927f-f8c2e2c386ad,Amy,Mccarty,paulbrewer@example.net,Singapore,2025-05-31,New
88e5803b-9591-432c-a70f-ec3e32d2e7c9,Wesley,Jenkins,jasmin27@example.org,Japan,2025-02-20,Regular
b11e866d-1a88-4832-8eb2-d38fdea871e1,Jerry,Harrison,melissa47@example.com,Japan,2024-11-27,Regular
d38dc57a-4ab7-4696-b987-43fa5e99733f,Susan,Gutierrez,peter70@example.net,Germany,2026-03-28,Churned
804a51fb-5884-4eba-96a6-102aea7507cc,Haley,Lee,wwalker@example.net,UK,2025-04-13,New
9f017d93-ecd2-43f8-8dcd-f924e0f2d86c,Michael,Walsh,theresa39@example.org,Canada,2025-12-26,At-Risk
a958cd26-3fde-415c-b4d6-924b6c558cc4,Andrea,Park,martinwilson@example.com,Canada,2025-09-07,Regular
26cfe688-8845-4b28-8a4a-5c053225ac02,Amber,Wells,amanda77@example.com,UK,2025-06-14,At-Risk
c3158d01-321e-4b1b-90b7-6d83b74c76f0,Todd,Love,pmartinez@example.net,India,2025-07-14,New
2af8b942-639a-479d-abde-0b19a40d6e2b,Stephanie,Dawson,wthompson@example.com,India,2025-07-31,Regular
b6dc1c76-fed5-41df-9834-5f786e51074b,Leroy,Gonzalez,douglasvictor@example.org,Brazil,2025-08-21,New
65b1c99b-86e9-4435-aa3f-8a46c7c6c6a6,Steve,Vasquez,robert62@example.net,Singapore,2024-10-07,At-Risk
20a8f613-15dc-40b9-8da5-741e1d04ba50,Tami,Sanchez,markperkins@example.com,USA,2024-05-11,New
95d817bc-00a4-4382-ab23-d89cf4417d5d,Adam,Romero,pittssusan@example.com,Canada,2025-12-22,New
3dd1c68c-271e-451b-8610-d465c13d982f,Sandra,Lane,lauraclark@example.com,Singapore,2024-08-13,At-Risk
ba4aa6e5-fc65-4456-ada8-8ac6dfcfd74c,Donna,Johnson,frankmiller@example.net,Australia,2023-12-18,Regular
68ff8a04-2548-4bc0-b164-21ef3b886933,Rebecca,Roberts,hernandezvirginia@example.org,India,2023-11-22,Regular
e257abed-1a20-470c-ab13-e58903eacd91,Matthew,Lowe,glennreginald@example.com,USA,2025-09-23,Churned
b11d02e6-f882-4b24-9414-d0dd2a34f89f,Joshua,Smith,juanpatel@example.com,France,2025-06-11,Churned
1611c889-1689-4388-b926-eccb5fd27abc,Rodney,Brown,phillipsamy@example.org,UK,2024-08-25,New
1fc00ea3-4bad-4946-a17e-5a83951128b4,Crystal,Graves,bryan73@example.net,Canada,2026-03-16,At-Risk
4627a8bd-6083-48fd-928a-c7c08b1ee0d6,Erin,Wright,felicia24@example.org,France,2025-01-27,At-Risk
bbc8e856-893f-4e06-9fe1-39fd30358949,John,West,wileyloretta@example.org,Singapore,2024-10-22,New
38f04e1d-ed93-4e51-9ea4-198f569b7e82,Amanda,Diaz,xsilva@example.net,UK,2025-05-13,Regular
7add89d4-3004-4810-ab36-623f35d1b36b,Jacob,Martinez,xcooper@example.net,UK,2026-02-23,New
995e9088-4adc-42aa-97de-0233dacec66d,Olivia,Gonzalez,linda81@example.net,Singapore,2024-03-08,Churned
11f93d77-f6b4-4f71-8a86-8d2f57d5745f,Anthony,James,jackson76@example.com,Japan,2025-08-29,Regular
c363d1ad-00ea-44a9-b8b9-51bbe46790a6,Kelsey,Murphy,mcdanielmatthew@example.org,USA,2025-05-24,Regular
2dad440d-d913-49d4-ab3e-232af24856ef,Kevin,Rivera,randallcoffey@example.org,Australia,2024-09-01,At-Risk
2e6d75cb-4d76-48fe-8692-24394c6f2d95,Daniel,Johnson,zpierce@example.org,France,2025-03-26,Regular
7236fb06-2a42-4d8c-aa2d-6f8633853434,Jamie,Stevens,shawn01@example.org,Germany,2024-03-12,At-Risk
aebb9fb5-93c5-4d59-89a2-d55aa1c694ca,Sandra,Wright,royrobertson@example.org,Canada,2025-10-14,VIP
4d457035-9e5e-4d1b-ab27-5c828bf8133e,Bruce,Henry,thompsonwilliam@example.com,Brazil,2024-11-13,At-Risk
5c6d6d83-57bd-43e4-a210-0bc972554a63,John,Jenkins,shannondiane@example.com,Singapore,2024-11-05,At-Risk
1b6c619e-448e-4559-b7d5-2c006cf71943,Sherry,Martin,jonathanhenry@example.net,UK,2024-04-03,New
35041564-1373-4976-9b9f-448b4f5e20a6,Donald,Gibson,qcohen@example.com,Singapore,2024-10-12,Regular
7fac6c8d-9b5a-4a13-8fbd-bbe5f7c85210,Frank,Berg,shawnajones@example.net,Singapore,2023-09-30,At-Risk
640ea1f6-6f87-44d4-80b2-aa24be201350,Hunter,Robinson,nlewis@example.com,India,2026-04-12,Churned
aa37d720-aac0-44ed-bb0a-eb4d8d610d99,Jorge,Woodward,john38@example.org,Singapore,2023-12-02,At-Risk
9bad4b30-e775-4a2a-8593-67bb5dee7619,Kathleen,Miller,wcollins@example.com,Germany,2024-02-13,At-Risk
8a76bcf6-0760-4df6-ab23-4f62a5ab9c6a,Julia,Ward,ikemp@example.com,India,2024-06-26,Churned
79351649-5b77-4bae-b2d1-7dcd5660ba8b,Steven,Jackson,gomezwilliam@example.net,Australia,2024-09-08,Regular
ff05ab62-f018-4f49-a970-ffa1f55b6d12,Chloe,Zavala,kellyowen@example.org,Singapore,2024-08-30,Regular
c77ba382-8546-430b-9e11-c765c1a81713,Brenda,Whitaker,tdunn@example.net,Germany,2023-09-04,Regular
f59de3b5-a269-4f1f-8e1f-736e414d1af0,Jonathan,Patterson,zcolon@example.org,Australia,2023-08-11,VIP
543d14db-0f08-472a-91ab-7d677ae38120,Robert,Rodriguez,joseross@example.net,Singapore,2025-11-16,Regular
06472045-46b6-4359-81ff-602c807d4ded,Gerald,West,jennifer35@example.org,Germany,2023-11-07,VIP
ea4aad97-89dc-49e4-b03b-b6c79cc84056,Misty,Haney,sherylbryant@example.net,USA,2025-12-26,Regular
27d0f315-6927-42b4-a1fe-083789b20045,Wendy,Jackson,josephramirez@example.org,USA,2024-02-20,At-Risk
686be3ff-50cc-419c-8ece-d2285fdbe007,William,Myers,qmayo@example.com,Canada,2024-05-13,New
b6bc1eef-bbb7-4c7b-9573-90619e9dfdd7,Christine,Gill,jacqueline56@example.org,France,2026-01-16,New
9b0025b6-76ea-482e-99c8-25954fab5062,Maria,Rogers,dbrown@example.com,Germany,2026-02-02,New
cd22414b-4c33-421a-baac-9dd8b1433423,Ashley,Burns,martinrachel@example.net,Japan,2026-03-08,New
7bdeac8f-14e2-45b4-8708-67ca594d75b7,Ryan,Cole,wpeters@example.com,Germany,2023-12-22,At-Risk
9e07b810-44a6-4f6d-ac03-13239d2b583a,Courtney,Coleman,cmathis@example.com,India,2024-02-08,Regular
96b65abb-2262-4b8d-8e67-5aaf9d6a258a,Rebecca,Jones,amy50@example.net,Canada,2023-07-03,New
b99a2cc2-c725-49d6-8d79-f98c01279b42,Aaron,Alexander,wernerchristopher@example.net,Australia,2023-06-16,Regular
d5805287-4afb-45cb-b096-d3148c55e64b,Christine,Martin,vangscott@example.com,Brazil,2025-03-19,At-Risk
0b212462-85ab-4526-91a1-0bf918585407,Chad,Rodriguez,amandacisneros@example.org,USA,2025-05-12,New
ac0b3879-f1a0-445e-8a55-9eab850d1ffc,Ricky,Henson,xmiranda@example.com,Canada,2023-09-12,VIP
093db2b2-54db-4b88-bd3e-957dbef65765,Jennifer,Sanchez,thomas14@example.org,Australia,2023-07-08,At-Risk
c801ec36-7322-4da5-839c-f66fc484439f,John,Phelps,john84@example.net,Canada,2024-06-11,Regular
f1f54d0d-4c85-4083-ba13-f21897ba7611,Bradley,Doyle,simsdavid@example.org,Germany,2025-04-11,New
6c5e05a3-e7a8-4d91-8fe5-b577216acde0,Mary,Brennan,mbowen@example.org,UK,2023-10-27,Regular
1824c8cd-39f6-4d9e-b49b-22e7db1d4d24,Stacy,Velazquez,jesse37@example.org,France,2025-08-23,Regular
1c4ac961-ee66-425c-a432-4d512f7f58b2,Eduardo,Perry,fharvey@example.org,Canada,2024-06-12,Regular
7cf2621d-a79a-47bc-8792-72e21a5206cd,Sean,Solomon,cindy56@example.org,Singapore,2023-07-23,VIP
95dbd0ba-e48b-4c8a-a5f1-0074ba15cf78,Richard,Browning,sweeneydawn@example.com,Singapore,2024-02-16,At-Risk
c7ff4846-2eb2-4ccc-8605-313a5338d967,Cheryl,Rogers,fstephens@example.net,Canada,2023-09-09,Churned
ad40e904-14af-484f-8d2b-7737c15ad800,Kenneth,Luna,mary13@example.com,Germany,2024-05-07,Regular
a3c7228e-90c9-4309-b687-da384a9c1610,Louis,Montoya,clyons@example.net,Brazil,2025-09-04,Regular
a2545c4e-a987-4ff3-971d-c10e283c8923,Andrew,Benson,justindelgado@example.net,India,2024-08-23,Churned
291c0311-41ec-4142-a0a8-7c3d4f4356a7,Laura,Krueger,zrichards@example.com,UK,2023-09-18,Regular
889c43a0-a9a1-441d-802c-d24cc33f00e6,Adriana,Conner,jefferylittle@example.net,India,2024-01-23,Regular
dde95197-af3a-41bd-bf02-68d3cee401ef,Robert,Molina,sandra84@example.net,Brazil,2024-11-09,Regular
8b019466-e725-437d-a85f-1a0f10060df9,Kimberly,Olson,kramirez@example.net,Singapore,2025-04-06,New
bcfd1f11-5f4c-4e3d-b81e-ac639b8f1566,Jose,Flynn,travisthomas@example.org,Brazil,2025-06-29,Regular
505fe793-95b1-40f2-9b45-4ebf7622cfbb,Teresa,Ford,faulknerdavid@example.com,France,2023-12-19,Regular
75c58f1a-24a1-4894-8b34-3160431c4f34,Toni,Webb,lindsaybarry@example.org,USA,2024-11-30,New
69f5d518-bec9-4f4e-9f47-c5d181630e2f,Jessica,Cooper,jeremy50@example.com,Singapore,2025-08-14,VIP
9de45926-9d86-4d84-bf81-134da2cedcbc,Luke,Simmons,omcclain@example.org,Australia,2026-04-06,VIP
cac6a8bc-844d-4513-b30b-14f8832f52ce,Michael,Robertson,schmidtandrew@example.com,Japan,2025-05-26,Regular
2aa48c36-2d9c-4eeb-b6cb-3d71758679a6,Jessica,Ramos,jacobsalbert@example.org,Singapore,2025-08-20,Regular
124a6710-d3bf-4d19-ad68-d5139433589c,Raymond,Ramsey,jvillegas@example.org,Singapore,2024-10-14,VIP
d4430204-9b6e-46f4-aa5d-4a7bb4b66be1,Monica,Johnson,abigailharris@example.net,UK,2023-12-27,VIP
def20164-94d4-4fec-87d0-a9f6b12537e8,Matthew,Pratt,dawnjones@example.org,Canada,2023-07-27,New
c299fb59-8ad9-4986-a967-883fe07a60f6,Heidi,Gibbs,robert24@example.org,Germany,2024-01-23,Regular
a1a97ee3-58e8-4a98-896d-3d0711c06c27,Emily,Hays,lkane@example.net,Japan,2024-05-02,Regular
f805d836-fe49-44a8-b662-c80c6ac28c86,Elizabeth,Dennis,connie29@example.net,Japan,2026-01-21,VIP
b6ca1256-bd63-4d6e-b7a7-3c4e449e8942,Chad,Ortega,ellisadam@example.com,Canada,2025-05-22,Regular
d5d7a778-1d47-43b8-9a69-efabbcb68f09,Joanna,Shaffer,dgross@example.net,Japan,2023-06-18,New
215c93c4-fdcb-4beb-97fc-3c751af8f8aa,Stephanie,Cruz,kadams@example.org,Australia,2024-05-11,Churned
514ec085-530d-4abb-a40e-bbad3642cdfc,Roger,Hall,richard68@example.net,Germany,2025-04-10,New
551c4800-934f-4bb6-a50f-261391f13012,Megan,Myers,tgarcia@example.org,Australia,2024-01-18,Regular
5bb28e78-8644-49a9-8758-a925d5d8669c,Bailey,Thompson,christophersteele@example.com,India,2024-01-12,Regular
e2ab8585-487c-495f-8006-e631f8369a8b,Ronald,Matthews,jasmin83@example.com,France,2024-10-01,Regular
